Regions	Vendor	TimeWindowA	TimeWindowB	I1	I2	I3	I4	I5	I6	I7	I8	I9
Anikka	Mac	1:30	13:30	Angler's Fishing Pole	Tournament Entrance Stamp	Sir Valleylead Card	Sir Druden Card	Madam Moonscent Card	Wei Card			
Anikka	Mac	4:30	16:30	Angler's Fishing Pole	Tournament Entrance Stamp	Sir Valleylead Card	Sir Druden Card	Madam Moonscent Card	Wei Card			
Anikka	Mac	5:30	17:30	Angler's Fishing Pole	Tournament Entrance Stamp	Sir Valleylead Card	Sir Druden Card	Madam Moonscent Card	Wei Card			
Anikka	Mac	7:30	19:30	Angler's Fishing Pole	Tournament Entrance Stamp	Sir Valleylead Card	Sir Druden Card	Madam Moonscent Card	Wei Card			
Anikka	Mac	8:30	20:30	Angler's Fishing Pole	Tournament Entrance Stamp	Sir Valleylead Card	Sir Druden Card	Madam Moonscent Card	Wei Card			
Anikka	Mac	11:30	23:30	Angler's Fishing Pole	Tournament Entrance Stamp	Sir Valleylead Card	Sir Druden Card	Madam Moonscent Card	Wei Card			
Yudia	Lucas	1:30	13:30	Sky Reflection Oil	Yudia Natural Salt	Yudia Spell Book	Morina Card	Giant Worm Card	Thunder Card			
Yudia	Lucas	4:30	16:30	Sky Reflection Oil	Yudia Natural Salt	Yudia Spell Book	Morina Card	Giant Worm Card	Thunder Card			
Yudia	Lucas	5:30	17:30	Sky Reflection Oil	Yudia Natural Salt	Yudia Spell Book	Morina Card	Giant Worm Card	Thunder Card			
Yudia	Lucas	7:30	19:30	Sky Reflection Oil	Yudia Natural Salt	Yudia Spell Book	Morina Card	Giant Worm Card	Thunder Card			
Yudia	Lucas	8:30	20:30	Sky Reflection Oil	Yudia Natural Salt	Yudia Spell Book	Morina Card	Giant Worm Card	Thunder Card			
Yudia	Lucas	11:30	23:30	Sky Reflection Oil	Yudia Natural Salt	Yudia Spell Book	Morina Card	Giant Worm Card	Thunder Card			
East Luterra	Morris	1:30	13:30	Chain War Chronicles	Dyorika Straw Hat	Model of Luterra's Sword	Azenaporium Brooch	Morpheo Card	Brinewt Card	Meehan Card	Thunder Wings Card	
East Luterra	Morris	4:30	16:30	Chain War Chronicles	Dyorika Straw Hat	Model of Luterra's Sword	Azenaporium Brooch	Morpheo Card	Brinewt Card	Meehan Card	Thunder Wings Card	
East Luterra	Morris	5:30	17:30	Chain War Chronicles	Dyorika Straw Hat	Model of Luterra's Sword	Azenaporium Brooch	Morpheo Card	Brinewt Card	Meehan Card	Thunder Wings Card	
